Comment,Sentiment
Very good 👍,Positive
Hey lady police vo jo film kar the hai na heroine ki tara vaise acting kar rhi hai inn ko kissne rits di ek civilian pe haat vottane ki shame on her ...fir karo iss pe and putt her behind the bars 😡,Negative
TAKING THINGS  PERSONAL   IS  CRIMINAL ACT ON DUTT  THEY SHOULD TAKE  HER  OUT AND HER TEAM LEADER SHOULD BE ASKING HER    PLUS  THESE ON DUTY  SHOULD  BE  GIVEN REST,Negative
"This is wrong. If you don’t control her, she might slap Modi",Negative
❤❤❤,Positive
जब बोली थी तब जा के क्यू नही मारा थप्पड़...अब क्यू जली तेरी.  ..वो चुन के आई इसलिए...,Negative
BJP it cell godi media badnaam krne k ly hi hai,Negative
Iss treh ki reels koo baar baar upload  nai krnaa chahiye iss se Dange bhrkte hain,Negative
बेचारे अमीर पंजाबी किसान 😂😂😂,Negative
Kangana ain't deserve Respect point blank 💯 🔥 @Kaur is Toughest Bravest Strongest Greatest Women Commander in chief. No Question ask.,Positive
Weldone cisf girl......,Positive
Jai Jawan Jai Kisan,Positive
साली काँग्रेसी,Neutral
Good job Kam se kam 4 5 chaate maarne the,Positive
No no no a thik nahi hi,Negative
is desh me Koi izzat he nhi ha netao ke...par kya kare in neta log izzat ke like nhi 😅🤬,Negative
Iska badiya ilag karo. Ye CISF ka name badnam kiya,Negative
किसानों का दर्द निकल आया बिगडेल नेताओ के खिलाफ,Negative
Well done madam congratulations,Positive
☝️☝️☝️☝️☝️☝️☝️☝️☝️❤️❤️❤️❤️❤️❤️❤️❤️ good ji ji,Positive
अगर तुम्हारी माँ को सही बात समझायी गई होती तो वो ना बैठतीं धरने पर,Negative
Good Work Salute🙏 हिम्मत के लिये 🙏...,Positive
The cop was behaving like a gunda,Negative
"Kisan sirf Punjab Wale kehlaye jate h jinke bachche Canada me h, bechare Jo real Kisan h bharat ka wo chupchap baitha h. Pata nhi aajkal punjabiyo ko kya ho gaya h, bharat se nafrat, mandir todna, Hindu ko gali dena. Inhe bagal me Pakistan, bangalesh, Afghanistan nhi dikhta jahan pe sikho kya haal Kiya. Ye govt unko izzat se yahan lekar aa rhi h usme bhi inko dikkat hai. Ye sirf fauladi dikhane k h, itna hi dum h to muslim desho me jo atyachar ho raha h , uspe bol k hi dikha do, kyunki tumhari karne ki to kuch dum h nhi",Negative
Kangna Bihos kyu nhi hui😂😂nakli jhansi ki rani . Hamare anndaata  ko aatnkwadi deshdrohi khalistani kha tha,Negative
Suspended hua acha hua😡😡😡😡😡😡😡😡,Negative
Khalistani,Neutral
Ye moti kon hai be kuch jyada hi fudak rhi hai😂😂😂😂,Negative
Disgrace cisf woman in uniform ❗,Negative
Pata chal gaya kissan khet me nai har jagha he unke bachee border par airport par    aage se soch samjh kar bolna kisano ke bare me,Negative
Saali khalistaani,Neutral
"जय जवान जय किसान।
ये कोई गोदी पत्रकार नहीं है",Positive
To thappad marogi,Negative
Suspend  Now,Negative
Very good,Positive
"How can the cop misbehave to a member elected by so many people 😮 the power is given only to protect , not to abuse",Negative
Madam ko salute dil se 😔,Negative
Eise chutiye officer kya protection denge aam admi ko😂😂😂,Negative
Abhi bhi sb iske piche padde hai....udher kisi bhadwe ne bhramos ka secret Pakistan ko beich diya....uski baat koi nhi krta....na public na media,Negative
Ye ek जरिया है पापुलर होनेका .,Positive
Ye security women apne aap ko samjhti kya hai kisano k naam pr aandolan k naam pr bhut ganda khel khela desh virodhiyon ne shame on her,Negative
इसकी मां 200 रूपिये लेकर बैठी थी ऐसा कंगना ने कहा लेकिन इसकी मां को 500 मिलते थे कंगना ने रेट कम क्यों बताया😊,Neutral
Police hai aukat pe ayegi Inka Kam yahi hai 😂,Neutral
अंधा कानून,Negative
😂😂😂😂😂,Neutral
"Wait nahi kiyaa 
Wait ka haaath lagaa 😂😂😂",Neutral
Abb cisf app ko baatayega  app ki ohkat tab pata chalega,Neutral
Bloody khalisthani,Negative
Khalistani,Neutral
I proud of you cisf mam you are right,Positive
"Uniform phehn ke gundaagiri dikarahiti. sift bjp se takleef ,congress se nahi .bhesharm aurat.eha naikarikelie kitne log taraste h iskato duty kam,gundaagiri jyaada . Agar such mei aap maa bhitito duty phe haat nahi utati .e pakka plan tha",Negative
लेकिन चमाट जड़ने का दृश्य स्पष्ट नहीं है ❗,Negative
"😂😂 asli photo ek WhatsApp mei chakar kare, ye aurat Rahul ki personal wali hai",Neutral
कंगना से पुरानी स्टेटमेंट का बदला लिया लगता है पंजाब की वर्दी वाली ने,Negative
Agar aisa he to ham bhi kisi kisi ki bato par badla lene start karde😌😌😌,Positive
Khalistani aurat,Negative
But kangana slap her in her heart..... Equal/equal,Negative
Ise sirf kangana hi dikhi jo DMK k neta hindu ko dengu aids hiv bolte he tb ye unko nhi maregi tb unka swagat kregi,Negative
Sardarni Sherni 😮😮😮😮😢🎉🎉🎉❤❤❤,Positive
Sham on u Indian Army behaviour,Negative
"iske kaam aise hain ki thappad toh padna hi tha ek na ek din, lekinn cisf ke jawan ke haaton nai, woh bhi wardi mai, aapka kartavya hai agar koi security mai hai bhale hi atankwadi hi kyun na ho uski hifazat karna aapka dharam hai, lekin is cisf ne toh personal le liya, maaf karna ye cisf ke layak nai hai.",Negative
Wo topi wala us ladki me thappad marta h wo kisi ko nahi dikhega😢😢,Negative
Ejjat to gayi kangana ki 😅.  Abhi ye log sochenge kuch bolne se pahle public k bare me,Negative
गीदड़ की तरह। भाग रहे है सब 😂😂😂,Negative
"ये अब नौकरी नही करना चाहती राजनीत की कीड़ा हैं इस पुलिस वाली में अपने आप को हाइलाइट कर रही, अब इसको अखिलेश यादव या आम आदमी टिकट देगी 😂",Negative
"I don't  understand how she became  a mp and how people voted for her ???
I mean obviously through chaplusi but..😂😂",Negative
Sure her mother got rs50/-,Neutral
स्व. इंदिराजी को भी इनही लोगोंपर अंधा विश्वास था. मै काँग्रेसी नही हूं परंतु वो हम सब की प्रधानमंत्री थी.,Negative
कंगना= मुझे प्यार से नहीं थप्पड से डर लगता है 😮😮,Negative
Jay jawan jay kishan 🇮🇳,Positive
कांग्रेस और AAp joined cisf women😂😂,Neutral
पति CISF में salary 50000 ये मोहतरमा CISF me salary 50000 or ma ko bithaya hai andolan me samjho Inka irada 😂😂😂😂😂,Neutral
Ok panjab me aise bohut khalistani hai jaise muslim me hai,Negative
Khalistani Soch hai,Negative
She is clearly a jealous and a frustrated soul. She has no right to hit anyone no matter what..she should be suspended and put behind bars,Negative
😂😂😂,Neutral
Thappad mar kr bahut tej smjh rhi hai apne aap ko 😏😏😏,Positive
999 miscall frm khata khat khata khat bank 😂 job chali gayi isliye 😂,Neutral
Galat bolne pr punjabi tappad hi marte hai nice,Negative
😑 वर्दी पहन कर कानून तोड़ना ठीक नहीं हैँ। action किसी और तरीको से भी लिया जा सकता था।,Negative
Terror hai police wali,Negative
"👌🏽Salute madam
✊🏽jai Bheem
✊🏽jai Bharath",Positive
This is totally a publicity stunt by this women in duty for next Punjab election 🤔,Negative
CISF kii dres mai Om duty soldier agar kissi elected MP koo marr saktaa hai too sochoo 🤔 kii yai gun hotti too aam jantaa koo too aisai hii goll marr dengai so this is very serious issue and a  security threat,Negative
"Brave women ❤,,, aap ne Joo kya hai bohot accha kaam kya hai,,, kisi ko koi haq nahi kisi ke baree main koi comment karne ka,,,, Hat's off you Ma'am",Positive
Personal attack,Negative
Can someone translate what she is saying?,Negative
Is ko is me sarm nahi asi ki iski ma khalistaniyo ke des virodhi gatividhiyo  ki jagha kyo bathi thi.,Negative
"ARE ""CRPF"" WALI CHACHI AB TAK SOI THI KYA..? AB TUZE TERI MAA YAAD AAI KYA JAB KANGANA BJP SE CHUNAV JITI.. CRPF CHACHI AB TU CONGRESS YA AAP ME  BHARATI HOJA..",Negative
Is ka sahi ilaaj karna chahiye.,Neutral
Lol,Neutral
A apna nam roshn krwana chhati thi ki log hme bhi Jan jaye hum bhi kuch h 😂😂😂😂 spa ke trphh se h,Negative
Superb,Positive
"Kangna Ranuat Ahmaq nahin, Magar BJP k Kehnain per Bad Statement or Tweet karti hay.",Negative
Tu idhar aa teri hekdi nikalte h,Negative
Koi baat na...uniform hai to ya ladki Bach gai nhi to iska to game ho jaata,Neutral
അവക്കിട്ട് അപ്പോഴേ കൊടുക്കേണ്ടേ തിരിച്ചു ഒരെണ്ണം,Neutral
Jahda didi giri nehi chalega,Positive
"Kangana randawat ke sath BJP ke muh pe kanoon ka tamacha..👋
Boli thi 2014 ke bad Desh Azad huwa hai jaise is ka baap Azad karwaya ho..😡",Negative
Galat hai ye c I s f wali,Negative
"Kyun Bhai kaisa laga thappad..👋 maza aaya na din me Tare dikhe na..🥴
😂🤣😂",Negative
She should be punished,Negative
"Thapod lagane ka video nahi dikh Raha, main nahi Manta 😂😂😂",Neutral
Right ✅️,Neutral
"बोली थी जब पापा आए थे तब भारत आजाद हुआ था,, और पहले की आजादी भीख में मिली थी,, जाहिल जनता है जो सांसद बना दिया,, मेरा बस चले तो आम लड़की बना दू,",Negative
"जिस दिन ये न्यूज सुना था मां की कसम मैं बता रहा हूं, उसी दिन 15 kg ताजा लड्डू बांटे थे लोगों में,, दिल दिल खुश हो गया था मेरा,,",Positive
Kangna support,Negative
Mujhe lagta h thappad to nhi mara hoga. M ek soldier se ye ummid nhi kr sakta ye sab nhi krna chahiye tha.,Negative
"2014 इंटरनेशनल बेइज्जती, 😂😂😂😂",Negative
Showing her street levels,Neutral
Maa baap par a jaye to ye celebrity kya koi ho duniya ka nhi chorhna chaiye.thiq kiya officer apne sallute you,Negative
Vhnjj,Neutral
Khalistani samarthak CISF main kyon Hai yah ladiss Rahul Gandhi Kejriwal Ki Godi Mein jakar Baith Ja Nahin to Khali sthaniya ke pass jakar chudwane,Negative
SHAME,Negative
"Cisf madam 💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿...
Aap ney dekha diya kih real indian kiy power ....",Positive
😂,Neutral
किस बात पर भड़की थी ये 100 rs rate लगाने पर या कम रेट लगाने पर 😂😂😂,Negative
"Thik hua jo hua , mental patient ki ilaaz ho gaya.",Neutral
100 rs में इसकी मां बैठी थी धिक्कार है ऐसी औलाद पर जो नौकरी के बाद भी 100 rs में रोड पर बिठा दिया 😂😂😂😂😂,Negative
👍💯,Positive
Yahi agar kisi opposition ke leader ke sath hua hota to dictatorship ka dhol pitne lagte,Negative
Galat baat hai is tarike ka vyavhar use nahin karna chahie tha Badle Mein Boss Ko girftar Bhi Karva sakti Thi Maar bhi sakti thi Apne Fauji hone ka fayda nahin uthana chahie isase Apne Desh Ka Naam Badnaam Hota Hai koi baat Thi To uske liye case bhi ho sakta tha Aur Bhi tarike the,Negative
😂😂😂😂😂😅😅😮😮😮🎉🎉🎉🎉🎉🎉😢,Positive
इस अराजक सीआरपीएफ की लेडी को तुरंत जेल में डालो,Negative
Bohut acha huya q ki kaal kisiney neta honey keliye jaati ke naam se kohi galath baat nohi korega.  Haa mantahu duty ke time por esa kaam nohi korna chahiye but iska elawa kangana ney jo hate speech diya tha uska keya bigar liya. aj kuch yeh galath bol rohehe but itney lugh koha tha job kangana ney hate speech diya tha kalistani terrorist awr 100 rupay waali bola tha.,Negative
"Not a fan of kangana or bjp or whatever, but that act is epitome of unprofessional behaviour. As a security personnel she needs to keep personal grudges aside on duty. Otherwise you are not fit for the job.",Negative
जय हो कंगना रनौत जी,Positive
थापड़ कांड दिवस :- 7 जून 😂😂😂😂,Neutral
"If someone with power and influence like Kangana could be slapped so easily, i wonder how safe the common people of this country really are.",Negative
🎉,Positive
Great Indian man and woman Jo is baat Ko lekar support rhe hai 😂😅 ek taraf apni Bharat m महान भारतीय पुरुष और महिला जो इस बात को लेकर समर्थन कर रहे हैं 😂😅 एक तरफ अपनी भारत मां से बहुत प्यार करते हैं और एक तरफ अपनी खुद की मां को गाली  पड़ रही है तो कंगना रावत का समर्थन कर रहे हैं धन्य है हमारे देश के वीर जवान😢😢😢😢😢,Positive
"Iski maa bhi andolan me paise lekar hi baithi hogi sach bol diya to mirch lag gai issey kya karey wo kehte hai na "" SACH HAMESHA KADWA HOTA HAI """,Negative
She is new who** of BJP,Negative
بہادر عورت زبردست 👌,Positive
"Chapas sheri 
Respect you",Positive
तो बैठी तो 100 में ही थी ना 😂😂,Neutral
Kangna ko spot 👍👍,Positive
"If this slap gone to a another party candidate then BJP bhakt called them indian army power. She slapped a BJP candidate, haters called him constable. She learn kangna how to respect indian people to",Negative
Super women,Positive
Teri maa baithi thi wha ti us aurat ki bhawan nhi suni kya gaddar isko to jail me daalo first,Negative
Punjab Ke Kissan Khalistani Kisaan Hai,Neutral
"Esa lagta hai pura Desh main sirf Punjab main kisaan hai

Baki rajjyee main kissan Nehi hai",Negative
Hmare up bihar m v kisaan hai,Negative
😆😂,Neutral
"The behaviour of the law enforcing is highly condemable,
Your duty is to protect the people and not to harm them.",Negative
Congrats for the guard 👏😂😂,Positive
देश के रक्षक ही देश के मर्यादा को पार कर रही हैं तो देश क्या होगा।कंगना को हमलोग चुनाव में हरा के जवाब देते,Negative
कंगना बजी है कहीं दूर खन खन खन खन 😂😂😂😂😂,Neutral
Yeh kangna modi ki tesri tang hai,Negative
Totally disgusting ....she is working just for money ....no respect or dignity for uniform,Negative
Join  in. Khalistani,Neutral
😂😂😂😂,Neutral
Thatte kettkanum. Super super 🎉🎉🎉. Valthukal your. Postive enarg e,Positive
"Kangana,s software has been updated 😅😅😅😅😅",Neutral
अपने निजी दुश्मनी में  वर्दी का अपमान मत करो,Negative
Very nice good job,Positive
Khalistani ha asa log des me atkavad bad khalistani log des todne pe aye ha inko bejo Pakistan to hi sudhre ge kyuki train bhut log kat gaya bharat ane me kyu ab tak inki akhe khuli kyu nahi hai🚩🙏🙏🚩,Negative
👍,Positive
Yah madam bahut badtamiz hai baat isliye ka nahin hai 👇,Negative
"Salery bharat Sarkar se leni hai or 
Support aandolankariyo ( khalistaniyo) ka krna hai.
Fir b kuchh dogle hindu in ka support karne aa jate hai.",Negative
Areee aeee 2014 ke baad azadii dilayaa hoga tere baap ne tujhe bollywood mein nachaniya bnne ki azadi di hogi toh 1947 main kyaa huaa tha,Negative
Why is this woman dressed in a army outfit ?women are naturally unfit to be soldiers,Negative
Army ya heban,Negative
Hahahahaa Kangana,Positive
Suspends ho gyi khalistani 😂,Negative
Salut ho cisf lady ko,Positive
GREATEST WOMEN,Positive
Isko fauj me kaun Bharti kar liya ye toh dekhne me hi aatankwadi lag Rahi hai...😂😂,Negative
Wow nice,Positive
रक्षा क्षेत्र मे सब से ज्यादा पंजाबी ही होते है वहां कोई गुजराथी नही दिखेगा सारे दिखेंगे उदयोगपती राजनेता.,Negative
जो भी हुवा गलत हुवा मगर पंजाबियो की हिम्मत की दाद देनी होगी सच्च मे बहादूर लोग होते है.,Negative
Khalistani,Neutral
Psycho CISF lady,Negative
❤❤❤❤❤ salute hai bahan,Positive
Y pagal khlisatni y to kuch bi kar skhte h goli bi mar skhte h y koi police nhi LG ri Gunda LG ri,Negative
"Kulwindar kaur ne bohot acha kam kia, dil ki awaz suni us ne, ab kangna kuch bhe kehne se pehle sochi gi",Positive
Sahi Kiya hai thappad lagakar uski aukat ko dikha diya hai kangana ranavat sun le sab bakriyan nahin milati hai koi Sher mil jata hai Aaj ek hi thappad khai hai samajh le cal tere sath kya hoga,Negative
रक्षक ही भक्षक हो गये तो जनता क्या करेगी,Negative
This employee should consult psychiatrist...,Neutral
😂😂😂,Neutral
Khalistani extremists,Negative
Congratulations u lost your job😅,Negative
😂😂😂😂😂😂😂😂😂,Neutral
कुलविंदर सिंह आयरन लेडी,Neutral
Bringing personal issues at workplace is dangerous sign.,Negative
Now she is ready to join Congress or AAP PARTY 😂😂😂 khalistani minded,Negative
Waah didi,Positive
"Shame shame your on duty, using your uniform for  personnel grudges ,😮now your justifying  yourself 😂😂, she must be prosecuted and expelled from Services",Negative
"This is sick. This women is maligning the uniform and admiration it holds in the mind of common folks. To hell with ideology, if I as a common citizen follow protocols then who the fk are you to slap me?I don't agree with you, it's my choice and it's my democratic right to agree or to disagree. Who the fk is she to abuse me? Pathetic.",Negative
Salute mam app ne bahut accha kam kiya,Positive
Jai cisf,Negative
This is not called duty,Negative
10slap maar de,Neutral
👏👏👏👏👏,Positive
Cisf mahil is right,Neutral
"CISF Mahila officer ne bahut hi accha kaam kiya h
Dil se salute h ❤️🙏",Positive
कंगना बजा है कहीं दूर खन खन खन😂,Neutral
"Teri maa bethi ho ya tera baap, kisan andolan khalistani deshdrohi hi the aur rahenge, vaha literally khalistani jhande lagaye the tumhare deshdrohi logo ne, now a new fear has been unlocked ke ese ugravadi cisf guard k naam pr train ho kr important positions pr aa skte he",Negative
CISD women ko salute kisan ladies wahan jo sacrifice kr rahi thi uspe galat bola tha ab hisab barabr kr ke unke pe galat bol ke dag ko mita diya,Positive
"Csfi jawan  ko umrkaid honi chahiye, aise log desh ka mahol kharab karte hai😡😡___🇮🇳❤️🇮🇱🚩🚩🚩🚩🚩",Negative
Oi madam Teri ma bethi thi to tu asa harkat karegi kya?..ham bhi kisan hai hame to koi problem nei kisan bil che,Negative
Sab ka nhi bolra hu .par 100% sach hai..Us time 500.500.. me bacha bhi bhut peda kr li hai..rato rat,Negative
Ordinary people forced to watch political high class drama.,Negative
Punjabi hote hi bewkoof hai,Negative
"Waise maza aya kangna isi layak thi, kisano ki aurto k liy jo bola uske baad haqdar thi wo slap ki",Negative
Good 👍 mam jo galat h to wo galat h ❤❤,Positive
Kangna isi layak h,Positive
सुरक्षा के लिए हैं ना की न्याय के लिए।,Neutral
Kangana ke sath galat hua yeh video dekh ke pata chalta hai aap apne vardi ka galat istemaal na kijiye warna aapko yeh bahut mahenga pad sakta hai,Negative
Kya baat desh ki tawaif ko izzat mile aur krantikaari ko jail ho jaaye,Negative
"2 tapped mairi taraf say b 
Maarnay tay'
Bari gangster aurat hai'",Negative
बिलकुल सही किया आंटी जी ने सलूट है 👍,Positive
जब देश के रक्षक ही रक्षा व्यवस्था के लिए खतरा बन जायेंगे तो कहीं न कही ये लोकतंत्र की हानि ही है,Negative
"This act is completely unacceptable and completely wrong ❌ but still i feel like this CISF lady did a great job 👍
Kangana is a brainless women she act as if she runs the whole economy 😒😒",Negative
फार चांगले केले,Positive
Apne duty ke sath gaddari,Neutral
She should be dismissed with her duty ASAP,Negative
Ye Khalistani Indira Gandhi ko marne wale.inke liye thappad bahut choti cheez hai.ise jail honi chahiye.,Negative
"Jab bnde kaat diye kissan andolan mai tav jake, apni uniform kaa aev dikhati.",Negative
Madam you are very very super🎉,Positive
Z+ Security kaha margaii😂😂,Neutral
Jas baat hath utha k nhi nikata,Negative
Jaruri tha,Negative
"Slapping in public shows how brutal she is and feeling pity for her husband...😂😂.
I don't know Hindi Can someone explain the scenario neutrally...",Negative
Nice shot ❤❤,Positive
Phulan devi,Neutral
ये हे देश की धाकड लडकी जवान लडकी🇮🇳,Positive
ਬਹੁਤ ਵਧੀਆ ਮੇਰੀ ਭੈਣ,Positive
आबा मा के साथ तू बैठक लगा,Neutral
"Ye jo log Kangana ke favour mein hain, un logo ne lgta hai abhi duniya dekhi ni hai, namak haraam to Tum log ho, jis sikh kaum ki vjh se aaj India mein baithe hain usi sikh kaum ko glt bol rhe hain…
Aise logo ko to Himachal mein bhi Jgh na mile… and miss Kulwinder kaur ji ne jo bhi Kiya acha hi kiya,, ek ki jgh do thppd lgane chaiye the us namak hraam kangana ko….
Or tum log sikh kaum ko kya naukari doge,, sikh kaum ki vjh se aaj tum logo ki Rozi roti chlti hai,,,aya smjh..?.",Negative
Now the lady will become the right hand of the Kissan Leaders.,Neutral
Where is the slap. Someone please post exact time… I can’t find it.,Negative
Worst service in CISF,Negative
वर्दी का फायदा उठाने का तरीका,Neutral
"Thappar ki awaz mujhy sunai nahi diya, thora zor sy dena tha Didi!",Negative
Good strategy by this girl to get relief from job and stand for election with librandu support 😊,Positive
Salute...,Positive
Jo Kangra ke chamche ne use ladki ko mara hai uska bhi virodh hona chahie Puri India mein,Negative
Bhai Kangana Ranaut per thappad lagaya to Bura lag Gaya aur jo Kangana ke chamche mein ek aur ladki ko mara vah aapki Aankhen foot gai aapko dikhai nahin de raha bekasur ladki ko Kangana ke chamche ne mara,Negative
Jharu wala vhi be like thora to dekh le ne do😂😂😂😂😂,Neutral
Lekin josh mai hos kho bethi is lady ne kyu ki duty mai respect bahot jaruri hai sahe kuch bhi ho apni duty ke time bodla lena bhari por sokta hai,Negative
"इसने गलत किया है  वर्दी की आड़ मे ये सब गलत है फिर उस ट्रेनिंग का क्या, उस कसम का क्या जो तिरंगा झंडा के नीचे ली थी, 
ऐसे तो कोई कुछ भी कर देगा। किसी को भी मार देगा। 
फिर सेक्युरिटी फोर्सेस का मतलब ही क्या रहेगा।",Negative
I thik CISF women officers mental condition may be not ok.....,Negative
Super dear… FARMERS ARE HARDWORKING KINGS … unlike Bloody Actress,Negative
Shame on BJP as always,Negative
"Faaltu aurat ki tarh karnika band kar desh seva karane ke liye sena join ki niji matter uniform khol kar kar faltu aurat

UNIFORM KA NAAM BADANAAM KIYA YEH FALTU AURAT",Negative
Very good sister ❤️😊,Positive
Great CISF women I really proud of u nd I salute you 👏👏👏✋,Positive
अपनी ड्यूटी के साथ  बेईमानी  इसको तो  जेल  होनी  चाहिए,Negative
Big salute,Positive
Hamare desh ka starr or yahan ki logo ki soch bahut gir gyi h berozgari aishi h ki hazri comment section m lagti h 2 rs per comment....Jai ho IT cell ki😂😂,Negative
I saw a video supposedly of her mother shouting in the agitation.. Shouting very bad about Modi ji personally.,Negative
Janta jag rahi h toh ushe khalistani ka naam de diya ja raha h..or ek pornstar ki itni pahunch k wo Naukri cheen le kisi ki...yeh hai mera desh...iss desh ko sat sat naman🙏,Positive
Ego is not important but self-respect is very important ❤❤❤❤,Positive
Nice job 2014 Hindustan aazad hone ke baad kitna badal gaya hai,Positive
Kulvinder kour is right,Neutral
Mola ENE sarveesel undavella . Go to jail . TJM.  7.,Negative
Kangna ko ban kardiye kayi social websites😂.  . Isse bada thappad kya hi 😂,Negative
Now she is jobless & working as tabhayak 😂🎉🎉,Neutral
Teri Maa #Khalistaniyon ke Saath Kyun Beithi Thiii.??.,Negative
Superb...,Positive
"ਹੁਣ ਕਿਥੇ ਮਰ, ਗਏ ਮਜਬੀ ਸਿਖ",Neutral
Bahot sahi kaam kiya lekin ekhi thappad kiun,Negative
ਤੇਰੇ  ਕਰਕੇ ਪੰਜਾਬੀ ਆ ਦੇ ਗਲ ਪਾ ਰਹੇ ਨੇ ਹਿਮਾਚਲ,Positive
Waah ek hi thappd main hila diya,Negative
1000 call from khangresh,Neutral
She won't slapped Amritpal Singh for his anti India act,Negative
Kuch bhi ho Punjab mai Khalistani bohot hai isliye to Deshdrohi Amritpal Singh sunao jeet gaya...,Positive
Brave CISF lady,Positive
agar ye Sahi he to aaj jo himachal me huva vo bhi sahi he,Positive
Gazabbbb bahan ❤❤❤,Positive
"टूट भी बयान दे देती इसके खिलाफ 
तुम्ही गुंडी बनोगी तो फिर पब्लिक क्या करेगी",Negative
beta jao rahul k pass,Negative
Kisan keval Punjab me hi hote hai kya... Farzi kisan keval modi BJP ke khilaf bhade ke tattu hai khalistani,Negative
She must be dismissed immediately,Negative
Cisf woman 💪🤟🇮🇳king👑,Positive
पहाड़ी टोपी वाले आदमी ने ब्लैक शर्ट वाली लड़की को सर पे मारा वो किसी को नहीं दिखा।,Negative
WAH EK BABBAR SERNI NE EK GHATIYA NETRNI KE KAAN GARM KAR DIYA,Negative
Ab  is ladki ko congress dhundega  tikat dene ke liye  rajniti me aane ka drama h sb,Negative
WAHEGURU JI KA KHALSA WAHEGURU JI KI FATEH,Positive
👍🏻👍🏼👍🏽👍🏾👍🏿👍🏿👍🏽👍🏼👍🏻,Positive
"CISF girl  khalisthsni teams 😮 
 Jai hindhusthan from kerala",Positive
Iski maa modi ki marneki ghoshna de rahi thi....100 kya 50 me bithaya hoga.  Pura punjab cisf se nikalo...inhonech ek bar PM ko usaya abhi ye kissa...pure punjzbi ko cisf defense olympic  etc me important position se nikalo...,Negative
Whatever be the case she is in uniform cannot be justified.,Negative
She is definitely khalisthani supporter. These are anti social elements. Shame on you.,Negative
Khalastani lady hai sale,Negative
"Strict action should be taken against these KHALISTANI LADY... I will says nothing wrong bcz she wears Uniform...
%$#
Believe me these lady must be get ticket of next VIDHANSABHA ELECTION by any opposition party ... that's why she do these...",Negative
This shouldn't be the mentality of a cop with uniform......,Negative
Geoo Jattii Punjab di... Love for you from Pakistan,Positive
"Ye CISF wali ka zalim ilaaj karna hoga BJP ko.. sirf suspension hame manzur nahi. 
Isko 15 saal jail me sadao.",Negative
अगर जुबान लाल रखोगे तो गाल भी लाल मिलेगा😂😂😅😅,Positive
CISF police very good action 👍👍👍👍,Positive
"Mai bhi punjabi Rajput hu 
Hum bhi kissan ke bete hai 
Hum bhi waha delhi baithe the jaa kr 
Agr 1 insaan pagal ho toh tum sb pagal ban jao ge kya. Tu taa thapad maar dita odde par socheya tu ki tere ek thapad karke Indian army di kini insult hoyi.
Hun taa Army te v bharosa nhi reya. Ki pta kddo aam insaan nu goli v maar dve",Negative
I respect CISF women... But this is not the way...,Negative
"Jai jawan
Jai kisan❤",Positive
She is bawli.....G.....,Negative
Chaca what doing there?? 😂,Neutral
I support kangana,Positive
It's True!!,Neutral
Kuvinder laur ♥️👍👌🙏🙏🙏💪💪💪💪💪💪💪✅,Positive
Dukh huwa....,Negative
Not the visuals.. The after visuals only...,Neutral
Government job karne k baad bhi Teri maa waha kyu baithi thi 😂😂 Ghar pe baitha leti 😂😂,Negative
She did right,Positive
"Last me jo us himachali topi wale ne us lady ke sir pe mara ,us k baare me koi baat hi nahi kar raha😢",Negative
Shame on you girl,Negative
"Free fund ch is fojan di video dikha ke ki sabit karna chahunde ho is upar sakhat  karwayi honi chahidi hai,is  te NSA lagna chahida jo isne vardi pa ke kartut kiti hai",Negative
"I support that cisf women but 
Not correct on duty time. Jay hind 🇮🇳🇮🇳",Negative
"Ki mileya ..naukri to vi gyie 
..agli nu kuch farak nhi paya",Negative
Urban Naxals,Negative
Desh ke bartan tha isliye madam aap shukr karo karna raat bhar din hath mein utha tha uthaya nahin tumhare bhi ijjat chala shukr karo Kangana apna hath nahin,Negative
Khalistani bvc,Neutral
khalistani,Negative
She is not high court,Negative
पिछवाड़े में इतना ही दम था तू वर्दी उतार के जरा सामना करती तब देख लेता मैं,Neutral
Last mein ek aur admi jisne topi penna hai..wo bhi Kangana ko kandhe par mara raha Tha...bohot patience hai Kangana mein.,Positive
Good job 👍yea sab nachanya log aj ke date me MP ban gai hai yea durbhagya hai apne desh ke leyea isko kya malum hai iske hisaab sea tho Azadi sabko mile hai 2014 me isko ignore karo yaar yea sasta nasha karte hai,Negative
Anbhdkon ki Amma 😂,Neutral
Kangna ko vote de kar jeeta ne walon ko bhi yahi thappadd milna chahiye....,Negative
This is wrong. She can do anything without uniform. How can see insult uniform?,Negative
Maa k liye nahi fame k liye Kiya he 😂😂😂,Neutral
Kitna bhi personal problem ho but cisf wali lo koi rights nahi hai ki voh asa ki politician ko slap kara publically or kuch log justify kar raha hai,Negative
Jhoot bola Kangna ne teri ma 100 me nhai 5 ₹ me Baithi thi 😂😂😂😂,Negative
aab tou sahi mein lagta hai eeski ma 100*100rupee k liye sadak par baithi thi,Negative
"2014 me aayi aazadi, ab jakar vikas  hua ,10 saal lage 😂😂😂😂😂  salute kulvinder , 
Ye jo raaychand   hain ,sirf raay hi de sakte hain, karta koi koi hi hai ,",Positive
"2014 me aayi desh ki azjadi , ab ja ke vikas hua....10 saal kage😂😂",Positive
Thappad marte huye nahi dikhaya,Negative
Cisf ki duty par thi vaise.,Neutral
Khalistani showing their true colors....,Positive
